Iteration,Cenary,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
26,3,(29 25),(2 7),1208,1194,486,(29 25) (29 24) (29 23) (29 22) (28 22) (27 22) (26 22) (25 22) (24 22) (24 21) (24 20) (24 19) (23 19) (22 19) (21 19) (21 18) (21 17) (21 16) (20 16) (19 16) (18 16) (18 15) (18 14) (18 13) (17 13) (16 13) (15 13) (14 13) (14 12) (14 11) (13 11) (12 11) (11 11) (10 11) (10 10) (10 9) (9 9) (8 9) (7 9) (6 9) (6 8) (6 7) (5 7) (4 7) (3 7) (2 7) 
26,4,(29 25),(2 7),1121,1107,388,(29 25) (29 24) (29 23) (29 22) (29 21) (29 20) (28 20) (27 20) (26 20) (25 20) (24 20) (23 20) (22 20) (21 20) (20 20) (19 20) (18 20) (18 19) (18 18) (18 17) (18 16) (18 15) (17 15) (16 15) (15 15) (14 15) (13 15) (12 15) (11 15) (11 14) (11 13) (11 12) (11 11) (10 11) (9 11) (8 11) (7 11) (6 11) (5 11) (4 11) (4 10) (4 9) (4 8) (4 7) (3 7) (2 7) 
27,1,(2 28),(25 17),714,690,340,(2 28) (3 28) (4 28) (5 28) (6 28) (7 28) (8 28) (9 28) (10 28) (11 28) (11 27) (11 26) (12 26) (13 26) (14 26) (15 26) (16 26) (17 26) (18 26) (19 26) (20 26) (20 25) (20 24) (20 23) (20 22) (20 21) (21 21) (22 21) (23 21) (23 20) (24 20) (25 20) (25 19) (25 18) (25 17) 
27,2,(2 28),(25 17),764,741,455,(2 28) (2 27) (2 26) (2 25) (2 24) (2 23) (2 22) (2 21) (2 20) (2 19) (2 18) (2 17) (3 17) (4 17) (5 17) (6 17) (7 17) (8 17) (9 17) (10 17) (11 17) (12 17) (13 17) (14 17) (15 17) (16 17) (17 17) (18 17) (19 17) (20 17) (21 17) (22 17) (23 17) (24 17) (25 17) 
27,3,(2 28),(25 17),999,969,376,(2 28) (2 27) (2 26) (3 26) (4 26) (5 26) (6 26) (7 26) (8 26) (9 26) (9 25) (9 24) (10 24) (11 24) (12 24) (13 24) (13 23) (13 22) (14 22) (15 22) (16 22) (17 22) (17 21) (17 20) (18 20) (19 20) (20 20) (21 20) (21 19) (21 18) (22 18) (23 18) (24 18) (25 18) (25 17) 
27,4,(2 28),(25 17),848,805,296,(2 28) (2 27) (2 26) (2 25) (2 24) (3 24) (4 24) (5 24) (6 24) (7 24) (8 24) (9 24) (10 24) (11 24) (12 24) (13 24) (14 24) (15 24) (15 23) (15 22) (15 21) (15 20) (16 20) (17 20) (18 20) (19 20) (20 20) (21 20) (22 20) (23 20) (23 19) (23 18) (23 17) (24 17) (25 17) 
28,1,(7 3),(9 17),315,287,160,(7 3) (7 4) (7 5) (7 6) (7 7) (7 8) (7 9) (7 10) (7 11) (7 12) (7 13) (7 14) (7 15) (7 16) (7 17) (8 17) (9 17) 
28,2,(7 3),(9 17),276,245,170,(7 3) (7 4) (7 5) (7 6) (7 7) (7 8) (7 9) (7 10) (7 11) (7 12) (7 13) (7 14) (7 15) (7 16) (7 17) (8 17) (9 17) 
28,3,(7 3),(9 17),387,345,160,(7 3) (7 4) (7 5) (7 6) (7 7) (7 8) (8 8) (8 9) (8 10) (8 11) (8 12) (8 13) (9 13) (9 14) (9 15) (9 16) (9 17) 
28,4,(7 3),(9 17),388,358,151,(7 3) (7 4) (7 5) (7 6) (7 7) (7 8) (7 9) (7 10) (7 11) (7 12) (8 12) (9 12) (9 13) (9 14) (9 15) (9 16) (9 17) 
29,1,(0 10),(19 16),558,526,250,(0 10) (1 10) (2 10) (3 10) (4 10) (5 10) (6 10) (7 10) (8 10) (9 10) (10 10) (11 10) (12 10) (13 10) (14 10) (15 10) (15 11) (16 11) (17 11) (18 11) (18 12) (18 13) (19 13) (19 14) (19 15) (19 16) 
29,2,(0 10),(19 16),578,549,345,(0 10) (0 11) (0 12) (0 13) (0 14) (0 15) (0 16) (1 16) (2 16) (3 16) (4 16) (5 16) (6 16) (7 16) (8 16) (9 16) (10 16) (11 16) (12 16) (13 16) (14 16) (15 16) (16 16) (17 16) (18 16) (19 16) 
29,3,(0 10),(19 16),743,707,283,(0 10) (0 11) (0 12) (1 12) (2 12) (3 12) (4 12) (5 12) (6 12) (7 12) (7 13) (7 14) (8 14) (9 14) (10 14) (11 14) (12 14) (12 15) (13 15) (14 15) (15 15) (16 15) (17 15) (17 16) (18 16) (19 16) 
29,4,(0 10),(19 16),658,626,217,(0 10) (0 11) (0 12) (0 13) (1 13) (2 13) (3 13) (4 13) (5 13) (6 13) (7 13) (8 13) (9 13) (10 13) (11 13) (12 13) (13 13) (14 13) (15 13) (15 14) (15 15) (15 16) (16 16) (17 16) (18 16) (19 16) 
30,1,(12 25),(12 17),159,131,80,(12 25) (12 24) (12 23) (12 22) (12 21) (12 20) (12 19) (12 18) (12 17) 
30,2,(12 25),(12 17),104,79,80,(12 25) (12 24) (12 23) (12 22) (12 21) (12 20) (12 19) (12 18) (12 17) 
30,3,(12 25),(12 17),142,108,80,(12 25) (12 24) (12 23) (12 22) (12 21) (12 20) (12 19) (12 18) (12 17) 
30,4,(12 25),(12 17),152,123,80,(12 25) (12 24) (12 23) (12 22) (12 21) (12 20) (12 19) (12 18) (12 17) 
31,1,(27 13),(1 13),710,675,260,(27 13) (26 13) (25 13) (24 13) (23 13) (22 13) (21 13) (20 13) (19 13) (18 13) (17 13) (16 13) (15 13) (14 13) (13 13) (12 13) (11 13) (10 13) (9 13) (8 13) (7 13) (6 13) (5 13) (4 13) (3 13) (2 13) (1 13) 
31,2,(27 13),(1 13),778,749,390,(27 13) (26 13) (25 13) (24 13) (23 13) (22 13) (21 13) (20 13) (19 13) (18 13) (17 13) (16 13) (15 13) (14 13) (13 13) (12 13) (11 13) (10 13) (9 13) (8 13) (7 13) (6 13) (5 13) (4 13) (3 13) (2 13) (1 13) 
31,3,(27 13),(1 13),1034,999,323,(27 13) (26 13) (25 13) (24 13) (23 13) (22 13) (21 13) (20 13) (19 13) (18 13) (17 13) (16 13) (15 13) (14 13) (13 13) (12 13) (11 13) (10 13) (9 13) (8 13) (7 13) (6 13) (5 13) (4 13) (3 13) (2 13) (1 13) 
31,4,(27 13),(1 13),915,876,250,(27 13) (26 13) (25 13) (24 13) (23 13) (22 13) (21 13) (20 13) (19 13) (18 13) (17 13) (16 13) (15 13) (14 13) (13 13) (12 13) (11 13) (10 13) (9 13) (8 13) (7 13) (6 13) (5 13) (4 13) (3 13) (2 13) (1 13) 
32,1,(12 23),(14 1),769,737,240,(12 23) (12 22) (12 21) (12 20) (12 19) (12 18) (12 17) (12 16) (12 15) (12 14) (12 13) (12 12) (12 11) (12 10) (12 9) (12 8) (12 7) (12 6) (12 5) (12 4) (13 4) (14 4) (14 3) (14 2) (14 1) 
32,2,(12 23),(14 1),644,597,250,(12 23) (12 22) (12 21) (12 20) (12 19) (12 18) (12 17) (12 16) (12 15) (12 14) (12 13) (12 12) (12 11) (12 10) (12 9) (12 8) (12 7) (12 6) (12 5) (12 4) (12 3) (12 2) (12 1) (13 1) (14 1) 
32,3,(12 23),(14 1),983,931,240,(12 23) (12 22) (12 21) (12 20) (12 19) (12 18) (12 17) (12 16) (12 15) (12 14) (12 13) (12 12) (13 12) (13 11) (13 10) (13 9) (13 8) (13 7) (13 6) (13 5) (13 4) (13 3) (13 2) (13 1) (14 1) 
32,4,(12 23),(14 1),971,941,230,(12 23) (12 22) (12 21) (12 20) (12 19) (12 18) (12 17) (12 16) (12 15) (12 14) (12 13) (13 13) (13 12) (13 11) (13 10) (13 9) (13 8) (13 7) (13 6) (13 5) (13 4) (13 3) (14 3) (14 2) (14 1) 
33,1,(17 27),(14 26),42,28,40,(17 27) (16 27) (15 27) (14 27) (14 26) 
33,2,(17 27),(14 26),55,38,55,(17 27) (17 26) (16 26) (15 26) (14 26) 
33,3,(17 27),(14 26),51,36,49,(17 27) (17 26) (16 26) (15 26) (14 26) 
33,4,(17 27),(14 26),51,36,49,(17 27) (17 26) (16 26) (15 26) (14 26) 
34,1,(28 13),(22 16),133,111,90,(28 13) (27 13) (26 13) (25 13) (24 13) (24 14) (23 14) (23 15) (22 15) (22 16) 
34,2,(28 13),(22 16),183,152,120,(28 13) (28 14) (28 15) (28 16) (27 16) (26 16) (25 16) (24 16) (23 16) (22 16) 
34,3,(28 13),(22 16),184,149,99,(28 13) (28 14) (28 15) (28 16) (27 16) (26 16) (25 16) (24 16) (23 16) (22 16) 
34,4,(28 13),(22 16),165,129,87,(28 13) (28 14) (28 15) (28 16) (27 16) (26 16) (25 16) (24 16) (23 16) (22 16) 
35,1,(7 26),(23 29),435,400,190,(7 26) (8 26) (9 26) (10 26) (11 26) (12 26) (13 26) (14 26) (15 26) (16 26) (17 26) (18 26) (19 26) (20 26) (20 27) (21 27) (22 27) (23 27) (23 28) (23 29) 
35,2,(7 26),(23 29),549,510,270,(7 26) (7 27) (7 28) (7 29) (8 29) (9 29) (10 29) (11 29) (12 29) (13 29) (14 29) (15 29) (16 29) (17 29) (18 29) (19 29) (20 29) (21 29) (22 29) (23 29) 
35,3,(7 26),(23 29),657,602,221,(7 26) (7 27) (8 27) (9 27) (10 27) (11 27) (12 27) (13 27) (14 27) (15 27) (16 27) (16 28) (17 28) (18 28) (19 28) (20 28) (21 28) (21 29) (22 29) (23 29) 
35,4,(7 26),(23 29),487,452,174,(7 26) (7 27) (7 28) (7 29) (8 29) (9 29) (10 29) (11 29) (12 29) (13 29) (14 29) (15 29) (16 29) (17 29) (18 29) (19 29) (20 29) (21 29) (22 29) (23 29) 
36,1,(27 2),(9 2),289,263,180,(27 2) (26 2) (25 2) (24 2) (23 2) (22 2) (21 2) (20 2) (19 2) (18 2) (17 2) (16 2) (15 2) (14 2) (13 2) (12 2) (11 2) (10 2) (9 2) 
36,2,(27 2),(9 2),418,384,270,(27 2) (26 2) (25 2) (24 2) (23 2) (22 2) (21 2) (20 2) (19 2) (18 2) (17 2) (16 2) (15 2) (14 2) (13 2) (12 2) (11 2) (10 2) (9 2) 
36,3,(27 2),(9 2),496,453,225,(27 2) (26 2) (25 2) (24 2) (23 2) (22 2) (21 2) (20 2) (19 2) (18 2) (17 2) (16 2) (15 2) (14 2) (13 2) (12 2) (11 2) (10 2) (9 2) 
36,4,(27 2),(9 2),358,329,173,(27 2) (26 2) (25 2) (24 2) (23 2) (22 2) (21 2) (20 2) (19 2) (18 2) (17 2) (16 2) (15 2) (14 2) (13 2) (12 2) (11 2) (10 2) (9 2) 
37,1,(27 16),(7 29),874,854,330,(27 16) (26 16) (25 16) (24 16) (23 16) (22 16) (21 16) (20 16) (19 16) (18 16) (17 16) (16 16) (15 16) (15 17) (15 18) (15 19) (15 20) (15 21) (14 21) (14 22) (13 22) (12 22) (11 22) (10 22) (9 22) (9 23) (9 24) (9 25) (9 26) (8 26) (8 27) (8 28) (7 28) (7 29) 
37,2,(27 16),(7 29),857,833,430,(27 16) (27 17) (27 18) (27 19) (27 20) (27 21) (27 22) (27 23) (27 24) (27 25) (27 26) (27 27) (27 28) (27 29) (26 29) (25 29) (24 29) (23 29) (22 29) (21 29) (20 29) (19 29) (18 29) (17 29) (16 29) (15 29) (14 29) (13 29) (12 29) (11 29) (10 29) (9 29) (8 29) (7 29) 
37,3,(27 16),(7 29),1128,1101,357,(27 16) (27 17) (27 18) (27 19) (26 19) (25 19) (24 19) (23 19) (22 19) (22 20) (22 21) (22 22) (21 22) (20 22) (19 22) (19 23) (19 24) (19 25) (18 25) (17 25) (16 25) (15 25) (15 26) (15 27) (14 27) (13 27) (12 27) (11 27) (11 28) (11 29) (10 29) (9 29) (8 29) (7 29) 
37,4,(27 16),(7 29),1069,1032,287,(27 16) (27 17) (27 18) (27 19) (27 20) (27 21) (26 21) (25 21) (24 21) (23 21) (22 21) (21 21) (20 21) (19 21) (18 21) (17 21) (16 21) (15 21) (15 22) (15 23) (15 24) (15 25) (14 25) (13 25) (12 25) (11 25) (10 25) (9 25) (8 25) (8 26) (8 27) (8 28) (8 29) (7 29) 
38,1,(13 9),(21 16),483,433,150,(13 9) (14 9) (15 9) (16 9) (17 9) (18 9) (19 9) (20 9) (20 10) (20 11) (20 12) (20 13) (20 14) (20 15) (20 16) (21 16) 
38,2,(13 9),(21 16),472,417,190,(13 9) (13 10) (13 11) (13 12) (13 13) (13 14) (13 15) (13 16) (14 16) (15 16) (16 16) (17 16) (18 16) (19 16) (20 16) (21 16) 
38,3,(13 9),(21 16),593,524,159,(13 9) (13 10) (13 11) (13 12) (14 12) (15 12) (16 12) (17 12) (18 12) (18 13) (18 14) (18 15) (19 15) (20 15) (21 15) (21 16) 
38,4,(13 9),(21 16),517,465,126,(13 9) (13 10) (13 11) (13 12) (13 13) (13 14) (13 15) (14 15) (15 15) (16 15) (17 15) (18 15) (19 15) (20 15) (21 15) (21 16) 
39,1,(13 7),(24 28),921,907,320,(13 7) (14 7) (15 7) (16 7) (17 7) (18 7) (19 7) (20 7) (21 7) (22 7) (23 7) (23 8) (23 9) (23 10) (23 11) (23 12) (23 13) (23 14) (23 15) (23 16) (23 17) (23 18) (23 19) (23 20) (23 21) (23 22) (23 23) (23 24) (23 25) (23 26) (23 27) (23 28) (24 28) 
39,2,(13 7),(24 28),914,898,375,(13 7) (13 8) (13 9) (13 10) (13 11) (13 12) (13 13) (13 14) (13 15) (13 16) (13 17) (13 18) (13 19) (13 20) (13 21) (13 22) (13 23) (13 24) (13 25) (13 26) (13 27) (13 28) (14 28) (15 28) (16 28) (17 28) (18 28) (19 28) (20 28) (21 28) (22 28) (23 28) (24 28) 
39,3,(13 7),(24 28),1260,1241,326,(13 7) (13 8) (13 9) (13 10) (13 11) (14 11) (15 11) (16 11) (16 12) (16 13) (16 14) (16 15) (17 15) (18 15) (18 16) (18 17) (18 18) (18 19) (19 19) (20 19) (20 20) (20 21) (20 22) (20 23) (21 23) (22 23) (22 24) (22 25) (22 26) (22 27) (23 27) (24 27) (24 28) 
39,4,(13 7),(24 28),1094,1076,283,(13 7) (13 8) (13 9) (13 10) (13 11) (13 12) (13 13) (13 14) (14 14) (15 14) (16 14) (17 14) (18 14) (19 14) (20 14) (20 15) (20 16) (20 17) (20 18) (20 19) (20 20) (20 21) (21 21) (22 21) (23 21) (24 21) (24 22) (24 23) (24 24) (24 25) (24 26) (24 27) (24 28) 
40,1,(14 6),(12 0),158,126,80,(14 6) (14 5) (14 4) (14 3) (14 2) (13 2) (13 1) (12 1) (12 0) 
40,2,(14 6),(12 0),133,104,90,(14 6) (14 5) (14 4) (14 3) (14 2) (14 1) (14 0) (13 0) (12 0) 
40,3,(14 6),(12 0),162,120,81,(14 6) (14 5) (14 4) (14 3) (14 2) (14 1) (13 1) (12 1) (12 0) 
40,4,(14 6),(12 0),147,112,77,(14 6) (14 5) (14 4) (14 3) (14 2) (14 1) (14 0) (13 0) (12 0) 
41,1,(5 18),(23 23),667,632,230,(5 18) (6 18) (7 18) (8 18) (9 18) (10 18) (11 18) (12 18) (13 18) (14 18) (15 18) (16 18) (16 19) (16 20) (16 21) (16 22) (17 22) (18 22) (19 22) (20 22) (21 22) (22 22) (22 23) (23 23) 
41,2,(5 18),(23 23),697,668,320,(5 18) (5 19) (5 20) (5 21) (5 22) (5 23) (6 23) (7 23) (8 23) (9 23) (10 23) (11 23) (12 23) (13 23) (14 23) (15 23) (16 23) (17 23) (18 23) (19 23) (20 23) (21 23) (22 23) (23 23) 
41,3,(5 18),(23 23),942,908,266,(5 18) (5 19) (5 20) (6 20) (7 20) (8 20) (9 20) (10 20) (11 20) (12 20) (13 20) (13 21) (14 21) (15 21) (16 21) (17 21) (18 21) (18 22) (19 22) (20 22) (21 22) (22 22) (23 22) (23 23) 
41,4,(5 18),(23 23),814,769,205,(5 18) (5 19) (5 20) (5 21) (6 21) (7 21) (8 21) (9 21) (10 21) (11 21) (12 21) (13 21) (14 21) (15 21) (16 21) (17 21) (18 21) (19 21) (20 21) (21 21) (21 22) (21 23) (22 23) (23 23) 
42,1,(13 4),(11 12),197,164,100,(13 4) (12 4) (12 5) (12 6) (12 7) (12 8) (12 9) (12 10) (12 11) (12 12) (11 12) 
42,2,(13 4),(11 12),163,134,110,(13 4) (13 5) (13 6) (13 7) (13 8) (13 9) (13 10) (13 11) (13 12) (12 12) (11 12) 
42,3,(13 4),(11 12),211,167,101,(13 4) (13 5) (13 6) (13 7) (13 8) (13 9) (12 9) (11 9) (11 10) (11 11) (11 12) 
42,4,(13 4),(11 12),209,170,93,(13 4) (13 5) (13 6) (13 7) (13 8) (13 9) (13 10) (13 11) (13 12) (12 12) (11 12) 
43,1,(13 15),(30 19),795,752,210,(13 15) (14 15) (15 15) (16 15) (17 15) (18 15) (19 15) (20 15) (21 15) (22 15) (23 15) (24 15) (25 15) (26 15) (27 15) (28 15) (28 16) (28 17) (29 17) (29 18) (29 19) (30 19) 
43,2,(13 15),(30 19),868,837,295,(13 15) (13 16) (13 17) (13 18) (13 19) (14 19) (15 19) (16 19) (17 19) (18 19) (19 19) (20 19) (21 19) (22 19) (23 19) (24 19) (25 19) (26 19) (27 19) (28 19) (29 19) (30 19) 
43,3,(13 15),(30 19),1171,1116,242,(13 15) (13 16) (13 17) (14 17) (15 17) (16 17) (17 17) (18 17) (19 17) (20 17) (21 17) (21 18) (22 18) (23 18) (24 18) (25 18) (26 18) (26 19) (27 19) (28 19) (29 19) (30 19) 
43,4,(13 15),(30 19),1036,979,197,(13 15) (13 16) (13 17) (14 17) (15 17) (16 17) (17 17) (18 17) (19 17) (20 17) (21 17) (22 17) (23 17) (24 17) (25 17) (26 17) (27 17) (28 17) (29 17) (30 17) (30 18) (30 19) 
44,1,(30 2),(0 24),940,935,520,(30 2) (29 2) (28 2) (27 2) (26 2) (25 2) (25 3) (25 4) (24 4) (23 4) (22 4) (22 5) (21 5) (20 5) (20 6) (20 7) (20 8) (20 9) (20 10) (20 11) (20 12) (20 13) (19 13) (18 13) (17 13) (16 13) (16 14) (15 14) (15 15) (15 16) (15 17) (14 17) (14 18) (13 18) (13 19) (13 20) (12 20) (12 21) (12 22) (12 23) (11 23) (10 23) (9 23) (8 23) (8 24) (7 24) (6 24) (5 24) (4 24) (3 24) (2 24) (1 24) (0 24) 
44,2,(30 2),(0 24),950,945,670,(30 2) (30 3) (30 4) (30 5) (30 6) (30 7) (30 8) (30 9) (30 10) (30 11) (30 12) (30 13) (30 14) (30 15) (30 16) (30 17) (30 18) (30 19) (30 20) (30 21) (30 22) (30 23) (30 24) (29 24) (28 24) (27 24) (26 24) (25 24) (24 24) (23 24) (22 24) (21 24) (20 24) (19 24) (18 24) (17 24) (16 24) (15 24) (14 24) (13 24) (12 24) (11 24) (10 24) (9 24) (8 24) (7 24) (6 24) (5 24) (4 24) (3 24) (2 24) (1 24) (0 24) 
44,3,(30 2),(0 24),1270,1260,559,(30 2) (30 3) (30 4) (30 5) (29 5) (28 5) (27 5) (26 5) (25 5) (25 6) (25 7) (25 8) (24 8) (23 8) (22 8) (22 9) (22 10) (22 11) (21 11) (20 11) (19 11) (19 12) (19 13) (19 14) (18 14) (17 14) (16 14) (16 15) (16 16) (16 17) (15 17) (14 17) (13 17) (12 17) (12 18) (12 19) (11 19) (10 19) (9 19) (8 19) (8 20) (8 21) (7 21) (6 21) (5 21) (4 21) (4 22) (4 23) (3 23) (2 23) (1 23) (0 23) (0 24) 
44,4,(30 2),(0 24),1163,1152,451,(30 2) (30 3) (30 4) (30 5) (30 6) (30 7) (29 7) (28 7) (27 7) (26 7) (25 7) (24 7) (23 7) (22 7) (21 7) (20 7) (19 7) (19 8) (19 9) (19 10) (19 11) (19 12) (18 12) (17 12) (16 12) (15 12) (14 12) (13 12) (13 13) (13 14) (13 15) (13 16) (13 17) (12 17) (11 17) (10 17) (9 17) (8 17) (7 17) (7 18) (7 19) (7 20) (7 21) (7 22) (6 22) (5 22) (4 22) (3 22) (2 22) (1 22) (0 22) (0 23) (0 24) 
45,1,(6 14),(12 20),315,275,120,(6 14) (7 14) (8 14) (9 14) (10 14) (11 14) (12 14) (12 15) (12 16) (12 17) (12 18) (12 19) (12 20) 
45,2,(6 14),(12 20),332,285,150,(6 14) (6 15) (6 16) (6 17) (6 18) (6 19) (6 20) (7 20) (8 20) (9 20) (10 20) (11 20) (12 20) 
45,3,(6 14),(12 20),385,340,126,(6 14) (6 15) (6 16) (6 17) (7 17) (8 17) (9 17) (10 17) (11 17) (11 18) (11 19) (11 20) (12 20) 
45,4,(6 14),(12 20),330,273,101,(6 14) (6 15) (6 16) (6 17) (6 18) (6 19) (6 20) (7 20) (8 20) (9 20) (10 20) (11 20) (12 20) 
46,1,(18 14),(3 30),953,949,310,(18 14) (17 14) (17 15) (17 16) (17 17) (17 18) (17 19) (17 20) (17 21) (17 22) (17 23) (17 24) (17 25) (17 26) (17 27) (17 28) (17 29) (17 30) (16 30) (15 30) (14 30) (13 30) (12 30) (11 30) (10 30) (9 30) (8 30) (7 30) (6 30) (5 30) (4 30) (3 30) 
46,2,(18 14),(3 30),953,947,385,(18 14) (18 15) (18 16) (18 17) (18 18) (18 19) (18 20) (18 21) (18 22) (18 23) (18 24) (18 25) (18 26) (18 27) (18 28) (18 29) (18 30) (17 30) (16 30) (15 30) (14 30) (13 30) (12 30) (11 30) (10 30) (9 30) (8 30) (7 30) (6 30) (5 30) (4 30) (3 30) 
46,3,(18 14),(3 30),1307,1303,324,(18 14) (18 15) (18 16) (18 17) (18 18) (17 18) (16 18) (15 18) (14 18) (14 19) (14 20) (14 21) (13 21) (12 21) (11 21) (11 22) (11 23) (11 24) (10 24) (9 24) (8 24) (8 25) (8 26) (8 27) (7 27) (6 27) (5 27) (5 28) (5 29) (5 30) (4 30) (3 30) 
46,4,(18 14),(3 30),1172,1164,270,(18 14) (18 15) (18 16) (18 17) (18 18) (18 19) (18 20) (17 20) (16 20) (15 20) (14 20) (13 20) (12 20) (11 20) (10 20) (9 20) (9 21) (9 22) (9 23) (9 24) (9 25) (9 26) (8 26) (7 26) (6 26) (5 26) (4 26) (3 26) (3 27) (3 28) (3 29) (3 30) 
47,1,(4 15),(12 6),442,405,170,(4 15) (4 14) (4 13) (4 12) (4 11) (4 10) (4 9) (4 8) (4 7) (4 6) (5 6) (6 6) (7 6) (8 6) (9 6) (10 6) (11 6) (12 6) 
47,2,(4 15),(12 6),448,419,210,(4 15) (4 14) (4 13) (4 12) (4 11) (4 10) (4 9) (4 8) (4 7) (4 6) (5 6) (6 6) (7 6) (8 6) (9 6) (10 6) (11 6) (12 6) 
47,3,(4 15),(12 6),602,557,179,(4 15) (4 14) (4 13) (4 12) (5 12) (6 12) (7 12) (8 12) (9 12) (9 11) (9 10) (9 9) (10 9) (11 9) (12 9) (12 8) (12 7) (12 6) 
47,4,(4 15),(12 6),510,462,146,(4 15) (4 14) (4 13) (4 12) (4 11) (4 10) (4 9) (5 9) (6 9) (7 9) (8 9) (9 9) (10 9) (11 9) (12 9) (12 8) (12 7) (12 6) 
48,1,(16 12),(18 24),438,381,140,(16 12) (16 13) (16 14) (16 15) (16 16) (16 17) (16 18) (16 19) (16 20) (16 21) (16 22) (17 22) (17 23) (18 23) (18 24) 
48,2,(16 12),(18 24),350,297,150,(16 12) (16 13) (16 14) (16 15) (16 16) (16 17) (16 18) (16 19) (16 20) (16 21) (16 22) (16 23) (16 24) (17 24) (18 24) 
48,3,(16 12),(18 24),502,435,140,(16 12) (16 13) (16 14) (16 15) (16 16) (16 17) (17 17) (17 18) (17 19) (17 20) (17 21) (17 22) (18 22) (18 23) (18 24) 
48,4,(16 12),(18 24),576,519,131,(16 12) (16 13) (16 14) (16 15) (16 16) (16 17) (16 18) (16 19) (16 20) (16 21) (17 21) (18 21) (18 22) (18 23) (18 24) 
49,1,(14 1),(28 5),409,376,180,(14 1) (15 1) (16 1) (17 1) (18 1) (19 1) (20 1) (21 1) (22 1) (23 1) (24 1) (25 1) (26 1) (26 2) (27 2) (27 3) (27 4) (27 5) (28 5) 
49,2,(14 1),(28 5),509,464,250,(14 1) (14 2) (14 3) (14 4) (14 5) (15 5) (16 5) (17 5) (18 5) (19 5) (20 5) (21 5) (22 5) (23 5) (24 5) (25 5) (26 5) (27 5) (28 5) 
49,3,(14 1),(28 5),593,545,206,(14 1) (14 2) (14 3) (15 3) (16 3) (17 3) (18 3) (19 3) (20 3) (21 3) (22 3) (22 4) (23 4) (24 4) (25 4) (26 4) (27 4) (27 5) (28 5) 
49,4,(14 1),(28 5),448,410,159,(14 1) (14 2) (14 3) (14 4) (14 5) (15 5) (16 5) (17 5) (18 5) (19 5) (20 5) (21 5) (22 5) (23 5) (24 5) (25 5) (26 5) (27 5) (28 5) 
