Iteration,Cenary,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
2,3,(2 24),(9 29),237,213,129,(2 24) (2 25) (2 26) (2 27) (3 27) (4 27) (5 27) (6 27) (7 27) (8 27) (8 28) (8 29) (9 29) 
2,4,(2 24),(9 29),205,178,101,(2 24) (2 25) (2 26) (2 27) (2 28) (2 29) (3 29) (4 29) (5 29) (6 29) (7 29) (8 29) (9 29) 
3,1,(10 6),(12 24),570,526,200,(10 6) (10 7) (10 8) (10 9) (10 10) (10 11) (10 12) (10 13) (10 14) (10 15) (10 16) (10 17) (10 18) (10 19) (10 20) (10 21) (10 22) (10 23) (11 23) (11 24) (12 24) 
3,2,(10 6),(12 24),476,434,210,(10 6) (10 7) (10 8) (10 9) (10 10) (10 11) (10 12) (10 13) (10 14) (10 15) (10 16) (10 17) (10 18) (10 19) (10 20) (10 21) (10 22) (10 23) (10 24) (11 24) (12 24) 
3,3,(10 6),(12 24),693,642,200,(10 6) (10 7) (10 8) (10 9) (10 10) (10 11) (11 11) (11 12) (11 13) (11 14) (11 15) (11 16) (12 16) (12 17) (12 18) (12 19) (12 20) (12 21) (12 22) (12 23) (12 24) 
3,4,(10 6),(12 24),700,642,191,(10 6) (10 7) (10 8) (10 9) (10 10) (10 11) (10 12) (10 13) (10 14) (10 15) (11 15) (12 15) (12 16) (12 17) (12 18) (12 19) (12 20) (12 21) (12 22) (12 23) (12 24) 
4,1,(10 3),(2 9),299,269,140,(10 3) (9 3) (8 3) (7 3) (6 3) (6 4) (6 5) (6 6) (6 7) (5 7) (5 8) (5 9) (4 9) (3 9) (2 9) 
4,2,(10 3),(2 9),319,283,180,(10 3) (10 4) (10 5) (10 6) (10 7) (10 8) (10 9) (9 9) (8 9) (7 9) (6 9) (5 9) (4 9) (3 9) (2 9) 
4,3,(10 3),(2 9),366,326,149,(10 3) (10 4) (10 5) (10 6) (9 6) (8 6) (7 6) (6 6) (5 6) (5 7) (5 8) (5 9) (4 9) (3 9) (2 9) 
4,4,(10 3),(2 9),317,285,116,(10 3) (10 4) (10 5) (10 6) (10 7) (10 8) (10 9) (9 9) (8 9) (7 9) (6 9) (5 9) (4 9) (3 9) (2 9) 
5,1,(6 18),(3 28),347,306,130,(6 18) (5 18) (5 19) (5 20) (5 21) (5 22) (5 23) (5 24) (5 25) (5 26) (4 26) (4 27) (4 28) (3 28) 
5,2,(6 18),(3 28),306,264,145,(6 18) (6 19) (6 20) (6 21) (6 22) (6 23) (6 24) (6 25) (6 26) (6 27) (6 28) (5 28) (4 28) (3 28) 
5,3,(6 18),(3 28),404,358,131,(6 18) (6 19) (6 20) (6 21) (6 22) (6 23) (5 23) (5 24) (5 25) (5 26) (5 27) (5 28) (4 28) (3 28) 
5,4,(6 18),(3 28),414,369,117,(6 18) (6 19) (6 20) (6 21) (6 22) (6 23) (6 24) (6 25) (6 26) (6 27) (5 27) (4 27) (3 27) (3 28) 
6,1,(19 18),(25 9),485,436,150,(19 18) (19 17) (19 16) (19 15) (19 14) (20 14) (21 14) (21 13) (21 12) (21 11) (21 10) (22 10) (23 10) (23 9) (24 9) (25 9) 
6,2,(19 18),(25 9),472,415,180,(19 18) (19 17) (19 16) (19 15) (19 14) (19 13) (19 12) (19 11) (19 10) (19 9) (20 9) (21 9) (22 9) (23 9) (24 9) (25 9) 
