Iteration,Algorithm,Cenary,Heuristic,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
1,A*,2,1,(21 1),(29 21),1457,1311,1340,(21 1) (21 2) (22 2) (23 2) (23 1) (24 1) (25 1) (26 1) (26 2) (26 3) (26 4) (25 4) (24 4) (23 4) (23 5) (22 5) (22 6) (22 7) (22 8) (21 8) (20 8) (19 8) (18 8) (17 8) (16 8) (15 8) (14 8) (13 8) (12 8) (12 7) (12 6) (12 5) (12 4) (12 3) (11 3) (10 3) (9 3) (8 3) (7 3) (6 3) (5 3) (4 3) (3 3) (2 3) (2 4) (2 5) (2 6) (2 7) (2 8) (2 9) (2 10) (3 10) (3 11) (3 12) (3 13) (3 14) (3 15) (3 16) (3 17) (3 18) (3 19) (3 20) (3 21) (3 22) (3 23) (3 24) (3 25) (3 26) (3 27) (3 28) (3 29) (3 30) (4 30) (5 30) (5 29) (6 29) (7 29) (8 29) (9 29) (10 29) (11 29) (12 29) (13 29) (14 29) (15 29) (16 29) (17 29) (17 28) (18 28) (18 27) (19 27) (20 27) (21 27) (21 26) (22 26) (22 25) (23 25) (23 24) (24 24) (24 23) (25 23) (25 22) (26 22) (26 21) (27 21) (28 21) (29 21) 
1,GS,2,2,(21 1),(29 21),879,811,400,(21 1) (21 2) (22 2) (22 3) (22 4) (23 4) (24 4) (25 4) (26 4) (26 5) (26 6) (26 7) (27 7) (28 7) (28 6) (29 6) (30 6) (30 7) (30 8) (30 9) (30 10) (30 11) (29 11) (28 11) (28 12) (28 13) (28 14) (29 14) (29 15) (29 16) (29 17) (29 18) (29 19) (29 20) (29 21) 
1,A*,2,2,(21 1),(29 21),1378,1174,470,(21 1) (21 2) (21 3) (21 4) (21 5) (20 5) (19 5) (18 5) (17 5) (16 5) (16 6) (16 7) (16 8) (17 8) (17 9) (17 10) (17 11) (17 12) (17 13) (17 14) (17 15) (18 15) (19 15) (20 15) (21 15) (22 15) (23 15) (24 15) (24 16) (24 17) (24 18) (24 19) (24 20) (24 21) (25 21) (26 21) (27 21) (28 21) (29 21) 
1,GS,3,1,(21 1),(29 21),165,98,323,(21 1) (21 2) (21 3) (21 4) (20 4) (20 5) (20 6) (21 6) (21 7) (21 8) (21 9) (21 10) (21 11) (22 11) (23 11) (24 11) (25 11) (26 11) (26 12) (27 12) (27 13) (27 14) (27 15) (27 16) (27 17) (27 18) (27 19) (27 20) (28 20) (28 21) (29 21) 
1,A*,3,1,(21 1),(29 21),2596,2139,378,(21 1) (21 2) (22 2) (23 2) (24 2) (24 3) (24 4) (23 4) (22 4) (22 5) (22 6) (22 7) (22 8) (22 9) (22 10) (22 11) (21 11) (21 12) (21 13) (21 14) (21 15) (22 15) (23 15) (24 15) (25 15) (26 15) (27 15) (28 15) (29 15) (29 16) (29 17) (29 18) (29 19) (29 20) (29 21) 
1,GS,3,2,(21 1),(29 21),929,836,591,(21 1) (20 1) (19 1) (18 1) (17 1) (17 2) (17 3) (18 3) (18 4) (19 4) (20 4) (20 5) (20 6) (19 6) (19 7) (18 7) (18 8) (17 8) (17 9) (17 10) (16 10) (16 11) (16 12) (16 13) (15 13) (15 14) (15 15) (15 16) (16 16) (16 17) (16 18) (16 19) (16 20) (16 21) (16 22) (17 22) (18 22) (19 22) (20 22) (21 22) (22 22) (23 22) (24 22) (24 23) (24 24) (25 24) (26 24) (26 23) (27 23) (27 22) (27 21) (28 21) (29 21) 
1,A*,3,2,(21 1),(29 21),3220,2837,581,(21 1) (20 1) (20 2) (19 2) (18 2) (18 1) (18 0) (17 0) (16 0) (16 1) (15 1) (15 2) (15 3) (15 4) (14 4) (14 5) (13 5) (13 6) (12 6) (12 7) (12 8) (13 8) (13 9) (13 10) (14 10) (15 10) (15 11) (15 12) (16 12) (16 13) (17 13) (18 13) (19 13) (19 14) (19 15) (19 16) (20 16) (21 16) (22 16) (23 16) (24 16) (25 16) (26 16) (27 16) (28 16) (29 16) (30 16) (30 17) (30 18) (30 19) (29 19) (29 20) (29 21) 
1,GS,4,1,(21 1),(29 21),960,924,372,(21 1) (21 0) (22 0) (23 0) (24 0) (24 1) (24 2) (23 2) (23 3) (23 4) (24 4) (25 4) (26 4) (26 5) (26 6) (26 7) (27 7) (28 7) (29 7) (30 7) (30 8) (30 9) (30 10) (30 11) (29 11) (29 12) (28 12) (28 13) (27 13) (27 14) (27 15) (27 16) (27 17) (27 18) (28 18) (28 19) (29 19) (29 20) (29 21) 
1,A*,4,1,(21 1),(29 21),8347,7622,765,(21 1) (20 1) (20 2) (19 2) (18 2) (18 3) (17 3) (17 4) (16 4) (15 4) (14 4) (13 4) (12 4) (11 4) (10 4) (9 4) (8 4) (7 4) (6 4) (6 5) (6 6) (6 7) (5 7) (4 7) (3 7) (3 8) (3 9) (3 10) (3 11) (3 12) (2 12) (1 12) (1 13) (0 13) (0 14) (0 15) (0 16) (0 17) (0 18) (1 18) (1 19) (1 20) (1 21) (1 22) (2 22) (3 22) (4 22) (5 22) (6 22) (6 23) (7 23) (7 24) (8 24) (8 25) (9 25) (9 26) (10 26) (11 26) (11 25) (12 25) (13 25) (14 25) (14 24) (15 24) (16 24) (17 24) (18 24) (19 24) (19 23) (20 23) (20 22) (21 22) (22 22) (23 22) (24 22) (24 21) (25 21) (26 21) (27 21) (28 21) (29 21) 
1,GS,4,2,(21 1),(29 21),346,244,422,(21 1) (22 1) (22 2) (22 3) (22 4) (23 4) (23 5) (23 6) (24 6) (25 6) (25 7) (26 7) (27 7) (28 7) (28 8) (28 9) (28 10) (28 11) (28 12) (27 12) (26 12) (25 12) (24 12) (23 12) (23 13) (22 13) (21 13) (21 14) (21 15) (22 15) (22 16) (22 17) (22 18) (23 18) (24 18) (25 18) (25 19) (25 20) (25 21) (26 21) (26 22) (27 22) (28 22) (28 21) (29 21) 
1,A*,4,2,(21 1),(29 21),767,565,472,(21 1) (22 1) (23 1) (23 2) (23 3) (24 3) (24 4) (25 4) (25 5) (26 5) (26 6) (26 7) (26 8) (26 9) (25 9) (24 9) (23 9) (23 10) (23 11) (22 11) (22 12) (21 12) (21 13) (21 14) (21 15) (20 15) (20 16) (20 17) (20 18) (20 19) (20 20) (21 20) (21 21) (21 22) (22 22) (23 22) (24 22) (25 22) (26 22) (27 22) (28 22) (28 23) (29 23) (30 23) (30 22) (30 21) (29 21) 
2,GS,1,1,(18 5),(29 16),952,845,420,(18 5) (18 6) (19 6) (19 7) (20 7) (21 7) (21 8) (21 9) (21 10) (20 10) (20 11) (19 11) (19 12) (19 13) (19 14) (19 15) (18 15) (18 16) (17 16) (17 17) (17 18) (18 18) (18 19) (19 19) (20 19) (21 19) (22 19) (23 19) (24 19) (25 19) (25 20) (25 21) (25 22) (26 22) (27 22) (27 21) (28 21) (28 20) (29 20) (29 19) (29 18) (29 17) (29 16) 
2,A*,1,1,(18 5),(29 16),583,408,240,(18 5) (18 6) (18 7) (18 8) (17 8) (17 9) (17 10) (17 11) (17 12) (18 12) (19 12) (20 12) (21 12) (21 13) (22 13) (23 13) (24 13) (25 13) (26 13) (27 13) (28 13) (29 13) (29 14) (29 15) (29 16) 
2,GS,1,2,(18 5),(29 16),955,868,480,(18 5) (18 6) (19 6) (19 7) (19 8) (20 8) (20 9) (21 9) (21 10) (21 11) (22 11) (22 12) (22 13) (22 14) (23 14) (23 15) (23 16) (22 16) (22 17) (22 18) (22 19) (22 20) (22 21) (22 22) (23 22) (24 22) (24 23) (24 24) (23 24) (23 25) (23 26) (23 27) (24 27) (25 27) (25 26) (26 26) (27 26) (28 26) (29 26) (29 25) (29 24) (29 23) (29 22) (29 21) (29 20) (29 19) (29 18) (29 17) (29 16) 
2,A*,1,2,(18 5),(29 16),548,374,280,(18 5) (18 6) (18 7) (18 8) (18 9) (19 9) (20 9) (21 9) (21 10) (21 11) (21 12) (20 12) (20 13) (20 14) (20 15) (20 16) (20 17) (21 17) (22 17) (22 18) (23 18) (24 18) (24 17) (24 16) (25 16) (26 16) (27 16) (28 16) (29 16) 
2,GS,2,1,(18 5),(29 16),554,456,365,(18 5) (18 6) (18 7) (17 7) (16 7) (16 8) (16 9) (17 9) (18 9) (19 9) (19 10) (20 10) (21 10) (22 10) (23 10) (24 10) (25 10) (26 10) (27 10) (28 10) (29 10) (30 10) (30 11) (30 12) (30 13) (30 14) (30 15) (29 15) (29 16) 
2,A*,2,1,(18 5),(29 16),1536,1349,275,(18 5) (18 6) (18 7) (18 8) (18 9) (19 9) (19 10) (20 10) (21 10) (22 10) (23 10) (24 10) (25 10) (26 10) (27 10) (28 10) (29 10) (29 11) (29 12) (29 13) (29 14) (29 15) (29 16) 
2,GS,2,2,(18 5),(29 16),115,62,295,(18 5) (18 6) (19 6) (19 7) (19 8) (20 8) (20 9) (21 9) (22 9) (22 10) (22 11) (23 11) (24 11) (24 12) (25 12) (26 12) (26 13) (26 14) (27 14) (27 15) (27 16) (27 17) (28 17) (29 17) (29 16) 
2,A*,2,2,(18 5),(29 16),588,455,305,(18 5) (17 5) (17 6) (17 7) (18 7) (18 8) (18 9) (19 9) (20 9) (21 9) (22 9) (23 9) (24 9) (25 9) (26 9) (27 9) (28 9) (29 9) (29 10) (29 11) (29 12) (29 13) (29 14) (29 15) (29 16) 
2,GS,3,1,(18 5),(29 16),428,297,273,(18 5) (18 6) (19 6) (20 6) (21 6) (21 7) (22 7) (22 8) (22 9) (23 9) (24 9) (24 10) (24 11) (24 12) (23 12) (23 13) (23 14) (24 14) (25 14) (26 14) (27 14) (28 14) (29 14) (29 15) (29 16) 
2,A*,3,1,(18 5),(29 16),780,592,242,(18 5) (18 6) (19 6) (19 7) (20 7) (20 8) (20 9) (20 10) (20 11) (20 12) (20 13) (20 14) (21 14) (22 14) (23 14) (24 14) (24 15) (24 16) (25 16) (26 16) (27 16) (28 16) (29 16) 
