Iteration,Algorithm,Cenary,Heuristic,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
0,A*,1,1,(26 7),(26 5),84,49,100,(26 7) (26 6) (25 6) (24 6) (24 7) (23 7) (23 6) (23 5) (24 5) (25 5) (26 5) 
0,A*,1,2,(26 7),(26 5),1151,930,740,(26 7) (25 7) (24 7) (23 7) (22 7) (22 8) (21 8) (20 8) (20 7) (19 7) (18 7) (17 7) (16 7) (15 7) (15 8) (15 9) (15 10) (15 11) (15 12) (14 12) (13 12) (12 12) (11 12) (11 13) (11 14) (10 14) (9 14) (8 14) (7 14) (6 14) (5 14) (5 13) (4 13) (3 13) (3 12) (3 11) (3 10) (3 9) (3 8) (3 7) (3 6) (3 5) (3 4) (3 3) (3 2) (3 1) (3 0) (4 0) (5 0) (6 0) (7 0) (8 0) (9 0) (10 0) (11 0) (12 0) (13 0) (14 0) (15 0) (16 0) (17 0) (18 0) (19 0) (20 0) (21 0) (22 0) (23 0) (24 0) (25 0) (26 0) (26 1) (26 2) (26 3) (26 4) (26 5) 
0,A*,2,1,(26 7),(26 5),1103,823,1230,(26 7) (26 8) (27 8) (27 9) (27 10) (28 10) (29 10) (29 11) (29 12) (29 13) (29 14) (28 14) (28 15) (28 16) (28 17) (27 17) (26 17) (26 18) (25 18) (24 18) (23 18) (22 18) (22 17) (22 16) (21 16) (20 16) (19 16) (19 15) (19 14) (18 14) (17 14) (16 14) (15 14) (14 14) (13 14) (12 14) (11 14) (10 14) (9 14) (8 14) (8 13) (7 13) (6 13) (5 13) (4 13) (4 12) (3 12) (2 12) (1 12) (0 12) (0 11) (0 10) (0 9) (0 8) (0 7) (1 7) (2 7) (3 7) (4 7) (5 7) (6 7) (7 7) (7 8) (7 9) (7 10) (8 10) (9 10) (9 9) (10 9) (10 8) (11 8) (11 7) (11 6) (11 5) (11 4) (11 3) (11 2) (12 2) (13 2) (14 2) (15 2) (16 2) (17 2) (18 2) (19 2) (20 2) (21 2) (22 2) (23 2) (24 2) (25 2) (25 3) (26 3) (26 4) (26 5) 
0,A*,2,2,(26 7),(26 5),825,599,690,(26 7) (26 8) (26 9) (26 10) (27 10) (28 10) (29 10) (29 11) (29 12) (29 13) (29 14) (28 14) (28 15) (28 16) (27 16) (26 16) (25 16) (24 16) (24 15) (23 15) (22 15) (21 15) (20 15) (20 16) (19 16) (18 16) (17 16) (17 15) (17 14) (16 14) (16 15) (16 16) (16 17) (16 18) (17 18) (18 18) (18 17) (19 17) (20 17) (20 16) (20 15) (20 14) (20 13) (21 13) (22 13) (23 13) (23 12) (23 11) (23 10) (24 10) (25 10) (26 10) (26 9) (26 8) (26 7) (26 6) (26 5) 
0,A*,3,1,(26 7),(26 5),5882,4960,1031,(26 7) (27 7) (27 8) (27 9) (27 10) (27 11) (26 11) (25 11) (25 12) (25 13) (24 13) (23 13) (22 13) (21 13) (21 14) (20 14) (19 14) (19 15) (18 15) (17 15) (17 16) (17 17) (16 17) (15 17) (14 17) (14 16) (14 15) (14 14) (13 14) (12 14) (12 13) (12 12) (12 11) (12 10) (11 10) (10 10) (9 10) (8 10) (7 10) (6 10) (6 11) (6 12) (5 12) (5 13) (4 13) (3 13) (2 13) (1 13) (0 13) (0 14) (0 15) (0 16) (0 15) (0 14) (1 14) (2 14) (3 14) (4 14) (5 14) (6 14) (7 14) (7 13) (7 12) (7 11) (7 10) (7 9) (7 8) (7 7) (8 7) (9 7) (9 6) (9 5) (10 5) (11 5) (12 5) (13 5) (14 5) (14 4) (15 4) (16 4) (17 4) (18 4) (19 4) (20 4) (21 4) (22 4) (23 4) (24 4) (25 4) (26 4) (26 5) 
0,A*,3,2,(26 7),(26 5),4948,4065,1059,(26 7) (25 7) (24 7) (24 8) (23 8) (23 9) (23 10) (24 10) (25 10) (26 10) (27 10) (27 11) (28 11) (28 12) (28 13) (28 14) (27 14) (27 15) (26 15) (25 15) (25 16) (25 17) (25 18) (25 19) (24 19) (24 20) (24 21) (24 22) (24 23) (24 24) (23 24) (22 24) (21 24) (20 24) (19 24) (19 25) (18 25) (17 25) (16 25) (15 25) (14 25) (14 24) (13 24) (12 24) (11 24) (11 23) (11 22) (11 21) (11 20) (11 19) (12 19) (12 18) (12 17) (12 16) (13 16) (14 16) (14 15) (14 14) (14 13) (14 12) (14 11) (15 11) (16 11) (16 10) (17 10) (17 9) (18 9) (18 8) (18 7) (17 7) (17 6) (16 6) (16 5) (15 5) (15 4) (14 4) (13 4) (12 4) (11 4) (11 5) (12 5) (13 5) (14 5) (15 5) (16 5) (17 5) (18 5) (19 5) (20 5) (21 5) (22 5) (23 5) (24 5) (25 5) (26 5) 
0,A*,4,1,(26 7),(26 5),2532,2096,409,(26 7) (25 7) (25 8) (25 9) (25 10) (26 10) (27 10) (28 10) (28 9) (28 8) (29 8) (30 8) (30 7) (30 6) (29 6) (29 5) (28 5) (27 5) (27 4) (27 3) (26 3) (26 2) (25 2) (24 2) (23 2) (23 1) (22 1) (21 1) (20 1) (20 2) (19 2) (19 3) (19 4) (19 5) (20 5) (20 4) (21 4) (22 4) (23 4) (24 4) (25 4) (26 4) (26 5) 
0,A*,4,2,(26 7),(26 5),1913,1335,561,(26 7) (25 7) (25 8) (25 9) (25 10) (25 11) (25 12) (25 13) (24 13) (24 14) (23 14) (22 14) (21 14) (20 14) (20 15) (19 15) (19 16) (18 16) (17 16) (16 16) (15 16) (14 16) (14 17) (14 18) (14 19) (13 19) (12 19) (11 19) (11 18) (11 17) (11 16) (11 15) (11 14) (12 14) (12 13) (13 13) (14 13) (14 12) (15 12) (16 12) (17 12) (18 12) (18 11) (18 10) (19 10) (19 9) (20 9) (21 9) (21 8) (21 7) (21 6) (21 5) (21 4) (22 4) (23 4) (24 4) (25 4) (26 4) (26 5) 
1,A*,1,1,(27 26),(19 27),1887,1743,390,(27 26) (27 27) (28 27) (29 27) (29 26) (30 26) (30 25) (30 24) (29 24) (29 23) (28 23) (27 23) (26 23) (26 22) (26 21) (27 21) (27 20) (27 19) (26 19) (26 18) (25 18) (24 18) (24 19) (24 20) (24 21) (24 22) (25 22) (25 23) (25 24) (26 24) (26 25) (26 26) (25 26) (25 27) (24 27) (23 27) (22 27) (21 27) (20 27) (19 27) 
1,A*,1,2,(27 26),(19 27),773,562,410,(27 26) (26 26) (26 25) (25 25) (24 25) (23 25) (23 26) (22 26) (21 26) (20 26) (19 26) (19 25) (19 24) (19 23) (19 22) (19 21) (20 21) (21 21) (22 21) (23 21) (23 20) (22 20) (21 20) (20 20) (19 20) (19 21) (18 21) (17 21) (16 21) (15 21) (14 21) (14 22) (14 23) (14 24) (14 25) (14 26) (14 27) (15 27) (16 27) (17 27) (18 27) (19 27) 
