Iteration,Algorithm,Cenary,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
2,3,2,(15 8),(1 5),137,89,200,(15 8) (15 7) (14 7) (13 7) (12 7) (11 7) (10 7) (9 7) (8 7) (7 7) (6 7) (6 6) (5 6) (4 6) (3 6) (2 6) (1 6) (1 5) 
2,4,1,(15 8),(1 5),78,36,161,(15 8) (14 8) (13 8) (12 8) (11 8) (10 8) (9 8) (8 8) (7 8) (6 8) (5 8) (4 8) (3 8) (2 8) (1 8) (1 7) (1 6) (1 5) 
2,4,2,(15 8),(1 5),51,19,149,(15 8) (15 7) (15 6) (15 5) (14 5) (13 5) (12 5) (11 5) (10 5) (9 5) (8 5) (7 5) (6 5) (5 5) (4 5) (3 5) (2 5) (1 5) 
3,1,1,(15 0),(25 22),349,295,320,(15 0) (15 1) (15 2) (15 3) (15 4) (15 5) (15 6) (15 7) (15 8) (15 9) (15 10) (15 11) (15 12) (16 12) (16 13) (16 14) (17 14) (17 15) (18 15) (18 16) (19 16) (19 17) (20 17) (20 18) (21 18) (21 19) (22 19) (23 19) (23 20) (23 21) (24 21) (25 21) (25 22) 
3,1,2,(15 0),(25 22),234,132,320,(15 0) (16 0) (17 0) (17 1) (18 1) (19 1) (19 2) (20 2) (21 2) (21 3) (21 4) (22 4) (22 5) (22 6) (22 7) (22 8) (22 9) (23 9) (24 9) (24 10) (24 11) (24 12) (24 13) (24 14) (24 15) (24 16) (24 17) (24 18) (24 19) (24 20) (25 20) (25 21) (25 22) 
3,2,1,(15 0),(25 22),407,349,370,(15 0) (15 1) (15 2) (15 3) (15 4) (15 5) (15 6) (15 7) (15 8) (15 9) (15 10) (15 11) (15 12) (15 13) (15 14) (15 15) (15 16) (15 17) (15 18) (16 18) (17 18) (18 18) (18 19) (18 20) (19 20) (20 20) (21 20) (21 21) (22 21) (23 21) (24 21) (24 22) (25 22) 
3,2,2,(15 0),(25 22),326,270,370,(15 0) (15 1) (15 2) (15 3) (15 4) (15 5) (15 6) (15 7) (15 8) (15 9) (15 10) (15 11) (15 12) (15 13) (15 14) (15 15) (15 16) (15 17) (15 18) (15 19) (15 20) (15 21) (15 22) (16 22) (17 22) (18 22) (19 22) (20 22) (21 22) (22 22) (23 22) (24 22) (25 22) 
3,3,1,(15 0),(25 22),467,408,325,(15 0) (15 1) (15 2) (15 3) (15 4) (15 5) (16 5) (17 5) (17 6) (17 7) (17 8) (17 9) (18 9) (19 9) (19 10) (19 11) (19 12) (19 13) (20 13) (21 13) (21 14) (21 15) (21 16) (21 17) (22 17) (23 17) (23 18) (23 19) (23 20) (23 21) (24 21) (25 21) (25 22) 
3,3,2,(15 0),(25 22),309,197,325,(15 0) (15 1) (15 2) (15 3) (15 4) (15 5) (16 5) (17 5) (17 6) (17 7) (17 8) (17 9) (18 9) (19 9) (19 10) (19 11) (19 12) (19 13) (20 13) (21 13) (21 14) (21 15) (21 16) (21 17) (22 17) (23 17) (23 18) (23 19) (23 20) (23 21) (24 21) (25 21) (25 22) 
3,4,1,(15 0),(25 22),358,284,285,(15 0) (15 1) (15 2) (15 3) (15 4) (15 5) (15 6) (15 7) (15 8) (16 8) (17 8) (18 8) (19 8) (20 8) (21 8) (21 9) (21 10) (21 11) (21 12) (21 13) (21 14) (21 15) (22 15) (23 15) (24 15) (25 15) (25 16) (25 17) (25 18) (25 19) (25 20) (25 21) (25 22) 
