Iteration,Algorithm,Cenary,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
0,BFS,1,(6 0),(25 13),706,681,320,(6 0) (7 0) (8 0) (9 0) (10 0) (11 0) (12 0) (13 0) (14 0) (15 0) (16 0) (17 0) (18 0) (19 0) (20 0) (21 0) (22 0) (23 0) (24 0) (25 0) (25 1) (25 2) (25 3) (25 4) (25 5) (25 6) (25 7) (25 8) (25 9) (25 10) (25 11) (25 12) (25 13) 
0,DFS,1,(6 0),(25 13),805,652,1320,(6 0) (6 1) (6 2) (6 3) (6 4) (6 5) (6 6) (6 7) (6 8) (6 9) (6 10) (6 11) (6 12) (6 13) (6 14) (6 15) (6 16) (6 17) (6 18) (6 19) (6 20) (6 21) (6 22) (6 23) (6 24) (6 25) (6 26) (6 27) (6 28) (6 29) (6 30) (7 30) (8 30) (9 30) (10 30) (11 30) (12 30) (13 30) (14 30) (15 30) (16 30) (17 30) (18 30) (19 30) (20 30) (21 30) (22 30) (23 30) (24 30) (25 30) (26 30) (27 30) (28 30) (29 30) (30 30) (30 29) (30 28) (30 27) (30 26) (30 25) (30 24) (30 23) (30 22) (30 21) (30 20) (30 19) (30 18) (30 17) (30 16) (30 15) (30 14) (30 13) (30 12) (30 11) (30 10) (30 9) (30 8) (30 7) (30 6) (30 5) (30 4) (30 3) (30 2) (30 1) (30 0) (29 0) (28 0) (28 1) (28 2) (28 3) (28 4) (28 5) (28 6) (28 7) (28 8) (28 9) (28 10) (28 11) (28 12) (28 13) (28 14) (28 15) (28 16) (28 17) (28 18) (28 19) (28 20) (28 21) (28 22) (28 23) (28 24) (28 25) (28 26) (28 27) (28 28) (27 28) (26 28) (26 27) (26 26) (26 25) (26 24) (26 23) (26 22) (26 21) (26 20) (26 19) (26 18) (26 17) (26 16) (26 15) (26 14) (26 13) (25 13) 
0,UCS,1,(6 0),(25 13),921,768,880,(6 0) (6 1) (6 2) (6 3) (7 3) (8 3) (8 4) (8 5) (8 6) (8 7) (8 8) (8 9) (8 10) (8 11) (8 12) (8 13) (9 13) (10 13) (10 14) (10 15) (9 15) (9 16) (8 16) (7 16) (6 16) (5 16) (4 16) (4 17) (3 17) (2 17) (1 17) (0 17) (0 18) (0 19) (0 20) (0 21) (0 22) (0 23) (0 24) (1 24) (1 25) (2 25) (2 26) (3 26) (3 27) (4 27) (5 27) (5 26) (6 26) (6 25) (7 25) (8 25) (9 25) (10 25) (11 25) (12 25) (13 25) (14 25) (15 25) (15 26) (15 27) (15 28) (15 29) (16 29) (17 29) (17 28) (18 28) (18 27) (19 27) (19 26) (20 26) (20 25) (20 24) (20 23) (20 22) (20 21) (20 20) (20 19) (20 18) (20 17) (20 16) (20 15) (20 14) (21 14) (21 13) (22 13) (23 13) (24 13) (25 13) 
0,BFS,2,(6 0),(25 13),706,681,415,(6 0) (7 0) (8 0) (9 0) (10 0) (11 0) (12 0) (13 0) (14 0) (15 0) (16 0) (17 0) (18 0) (19 0) (20 0) (21 0) (22 0) (23 0) (24 0) (25 0) (25 1) (25 2) (25 3) (25 4) (25 5) (25 6) (25 7) (25 8) (25 9) (25 10) (25 11) (25 12) (25 13) 
0,DFS,2,(6 0),(25 13),805,652,1465,(6 0) (6 1) (6 2) (6 3) (6 4) (6 5) (6 6) (6 7) (6 8) (6 9) (6 10) (6 11) (6 12) (6 13) (6 14) (6 15) (6 16) (6 17) (6 18) (6 19) (6 20) (6 21) (6 22) (6 23) (6 24) (6 25) (6 26) (6 27) (6 28) (6 29) (6 30) (7 30) (8 30) (9 30) (10 30) (11 30) (12 30) (13 30) (14 30) (15 30) (16 30) (17 30) (18 30) (19 30) (20 30) (21 30) (22 30) (23 30) (24 30) (25 30) (26 30) (27 30) (28 30) (29 30) (30 30) (30 29) (30 28) (30 27) (30 26) (30 25) (30 24) (30 23) (30 22) (30 21) (30 20) (30 19) (30 18) (30 17) (30 16) (30 15) (30 14) (30 13) (30 12) (30 11) (30 10) (30 9) (30 8) (30 7) (30 6) (30 5) (30 4) (30 3) (30 2) (30 1) (30 0) (29 0) (28 0) (28 1) (28 2) (28 3) (28 4) (28 5) (28 6) (28 7) (28 8) (28 9) (28 10) (28 11) (28 12) (28 13) (28 14) (28 15) (28 16) (28 17) (28 18) (28 19) (28 20) (28 21) (28 22) (28 23) (28 24) (28 25) (28 26) (28 27) (28 28) (27 28) (26 28) (26 27) (26 26) (26 25) (26 24) (26 23) (26 22) (26 21) (26 20) (26 19) (26 18) (26 17) (26 16) (26 15) (26 14) (26 13) (25 13) 
0,UCS,2,(6 0),(25 13),586,445,445,(6 0) (6 1) (7 1) (8 1) (8 2) (9 2) (9 3) (9 4) (9 5) (8 5) (8 6) (8 7) (8 8) (8 9) (9 9) (10 9) (11 9) (12 9) (13 9) (14 9) (15 9) (16 9) (16 10) (16 11) (17 11) (18 11) (19 11) (20 11) (21 11) (22 11) (23 11) (24 11) (25 11) (25 12) (25 13) 
0,BFS,3,(6 0),(25 13),706,681,366,(6 0) (7 0) (8 0) (9 0) (10 0) (11 0) (12 0) (13 0) (14 0) (15 0) (16 0) (17 0) (18 0) (19 0) (20 0) (21 0) (22 0) (23 0) (24 0) (25 0) (25 1) (25 2) (25 3) (25 4) (25 5) (25 6) (25 7) (25 8) (25 9) (25 10) (25 11) (25 12) (25 13) 
0,DFS,3,(6 0),(25 13),805,652,1386,(6 0) (6 1) (6 2) (6 3) (6 4) (6 5) (6 6) (6 7) (6 8) (6 9) (6 10) (6 11) (6 12) (6 13) (6 14) (6 15) (6 16) (6 17) (6 18) (6 19) (6 20) (6 21) (6 22) (6 23) (6 24) (6 25) (6 26) (6 27) (6 28) (6 29) (6 30) (7 30) (8 30) (9 30) (10 30) (11 30) (12 30) (13 30) (14 30) (15 30) (16 30) (17 30) (18 30) (19 30) (20 30) (21 30) (22 30) (23 30) (24 30) (25 30) (26 30) (27 30) (28 30) (29 30) (30 30) (30 29) (30 28) (30 27) (30 26) (30 25) (30 24) (30 23) (30 22) (30 21) (30 20) (30 19) (30 18) (30 17) (30 16) (30 15) (30 14) (30 13) (30 12) (30 11) (30 10) (30 9) (30 8) (30 7) (30 6) (30 5) (30 4) (30 3) (30 2) (30 1) (30 0) (29 0) (28 0) (28 1) (28 2) (28 3) (28 4) (28 5) (28 6) (28 7) (28 8) (28 9) (28 10) (28 11) (28 12) (28 13) (28 14) (28 15) (28 16) (28 17) (28 18) (28 19) (28 20) (28 21) (28 22) (28 23) (28 24) (28 25) (28 26) (28 27) (28 28) (27 28) (26 28) (26 27) (26 26) (26 25) (26 24) (26 23) (26 22) (26 21) (26 20) (26 19) (26 18) (26 17) (26 16) (26 15) (26 14) (26 13) (25 13) 
0,UCS,3,(6 0),(25 13),393,241,547,(6 0) (6 1) (6 2) (6 3) (7 3) (8 3) (9 3) (10 3) (11 3) (11 4) (12 4) (12 5) (13 5) (13 6) (14 6) (15 6) (16 6) (16 5) (17 5) (18 5) (18 4) (19 4) (19 3) (20 3) (21 3) (22 3) (23 3) (23 2) (24 2) (24 1) (25 1) (26 1) (27 1) (28 1) (28 2) (28 3) (28 4) (27 4) (27 5) (27 6) (27 7) (27 8) (26 8) (25 8) (24 8) (24 9) (24 10) (24 11) (24 12) (24 13) (25 13) 
0,BFS,4,(6 0),(25 13),706,681,316,(6 0) (7 0) (8 0) (9 0) (10 0) (11 0) (12 0) (13 0) (14 0) (15 0) (16 0) (17 0) (18 0) (19 0) (20 0) (21 0) (22 0) (23 0) (24 0) (25 0) (25 1) (25 2) (25 3) (25 4) (25 5) (25 6) (25 7) (25 8) (25 9) (25 10) (25 11) (25 12) (25 13) 
